id,bundle,category,developerid,developer,geo,startat,period
1,ru.alfabank.mobile.android,FINANCE,4816378786750558004,Alfa Bank AO,ru_RU,2020-11-16 12:08:36.317417,30
2,com.lingualeo.android,EDUCATION,Lingualeo+LLC,Lingualeo LLC,ru_RU,2020-11-30 09:44:58.73622,30
3,com.duolingo,EDUCATION,6957685454452609502,Duolingo,ru_RU,2020-11-30 10:04:50.360928,30
4,com.busuu.android.enc,EDUCATION,8335366955203612525,Busuu,ru_RU,2020-11-30 10:04:51.099462,30
5,me.mycake,EDUCATION,Cake+Corp.,Cake Corp.,ru_RU,2020-11-30 10:04:52.095698,30
6,com.memrise.android.memrisecompanion,EDUCATION,7657539983437808287,Memrise,ru_RU,2020-11-30 10:04:52.786148,30
7,com.quizlet.quizletandroid,EDUCATION,7999369250220694465,Quizlet Inc.,ru_RU,2020-11-30 10:18:41.013892,30
8,air.com.rosettastone.mobile.CoursePlayer,EDUCATION,8104400011369756806,Rosetta Stone Ltd,ru_RU,2020-11-30 10:18:41.698751,30
9,com.wlingua.curso,EDUCATION,6565196309894410553,Wlingua,ru_RU,2020-11-30 10:18:42.185907,30
10,com.atistudios.mondly.languages,EDUCATION,5914992223521470781,ATi Studios,ru_RU,2020-11-30 10:18:43.075155,30
11,com.ewa.ewaapp,EDUCATION,Lithium+Lab+Pte+Ltd,Lithium Lab Pte Ltd,ru_RU,2020-11-30 10:18:44.176489,30
