bundle,type,place,date
ru.alfabank.mobile.android,finance|apps_topselling_free,7,2020-11-16 12:28:30.073875
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-16 12:28:31.197149
ru.alfabank.mobile.android,finance|apps_movers_shakers,0,2020-11-16 12:28:32.614956
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-16 12:28:32.996245
ru.alfabank.mobile.android,finance|apps_topselling_free,7,2020-11-16 12:29:06.509008
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-16 12:29:07.606389
ru.alfabank.mobile.android,finance|apps_movers_shakers,0,2020-11-16 12:29:08.935559
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-16 12:29:09.306193
ru.alfabank.mobile.android,finance|apps_topselling_free,7,2020-11-17 12:29:16.969259
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-17 12:29:18.190636
ru.alfabank.mobile.android,finance|apps_movers_shakers,0,2020-11-17 12:29:19.269988
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-17 12:29:19.628988
ru.alfabank.mobile.android,finance|apps_topselling_free,7,2020-11-18 12:29:32.016338
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-18 12:29:33.31094
ru.alfabank.mobile.android,finance|apps_movers_shakers,0,2020-11-18 12:29:34.423039
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-18 12:29:34.810442
ru.alfabank.mobile.android,finance|apps_topselling_free,7,2020-11-19 12:29:47.940463
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-19 12:29:49.10015
ru.alfabank.mobile.android,finance|apps_movers_shakers,0,2020-11-19 12:29:50.142531
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-19 12:29:50.506158
ru.alfabank.mobile.android,finance|apps_topselling_free,6,2020-11-20 12:29:57.99183
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-20 12:29:59.357
ru.alfabank.mobile.android,finance|apps_movers_shakers,17,2020-11-20 12:30:00.952664
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-20 12:30:01.323812
ru.alfabank.mobile.android,finance|apps_topselling_free,6,2020-11-21 12:30:12.284127
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-21 12:30:13.594266
ru.alfabank.mobile.android,finance|apps_movers_shakers,26,2020-11-21 12:30:15.332977
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-21 12:30:15.766897
ru.alfabank.mobile.android,finance|apps_topselling_free,6,2020-11-22 12:30:30.719228
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-22 12:30:31.948758
ru.alfabank.mobile.android,finance|apps_movers_shakers,23,2020-11-22 12:30:33.398667
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-22 12:30:33.783547
ru.alfabank.mobile.android,finance|apps_topselling_free,7,2020-11-23 12:30:44.180963
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-23 12:30:49.439804
ru.alfabank.mobile.android,finance|apps_movers_shakers,20,2020-11-23 12:30:51.096376
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-23 12:30:51.469122
ru.alfabank.mobile.android,finance|apps_topselling_free,7,2020-11-24 12:31:03.072848
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-24 12:31:04.265931
ru.alfabank.mobile.android,finance|apps_movers_shakers,3,2020-11-24 12:31:05.529903
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-24 12:31:05.871655
ru.alfabank.mobile.android,finance|apps_topselling_free,7,2020-11-25 12:31:13.734742
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-25 12:31:14.927402
ru.alfabank.mobile.android,finance|apps_movers_shakers,9,2020-11-25 12:31:16.524571
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-25 12:31:17.016138
ru.alfabank.mobile.android,finance|apps_topselling_free,6,2020-11-26 12:31:25.776462
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-26 12:31:31.178408
ru.alfabank.mobile.android,finance|apps_movers_shakers,20,2020-11-26 12:31:32.703865
ru.alfabank.mobile.android,finance|apps_topselling_paid,0,2020-11-26 12:31:33.074319
ru.alfabank.mobile.android,finance|apps_topselling_free,7,2020-11-27 12:31:40.547868
ru.alfabank.mobile.android,finance|apps_topgrossing,0,2020-11-27 12:31:45.52959
