bundle,type,place,date
ru.alfabank.mobile.android,bank,3,2020-11-16 12:08:37.554736
ru.alfabank.mobile.android,банк,4,2020-11-16 12:08:38.757502
ru.alfabank.mobile.android,русский банк,21,2020-11-16 12:08:40.184814
ru.alfabank.mobile.android,bank,3,2020-11-16 12:28:20.199829
ru.alfabank.mobile.android,банк,3,2020-11-16 12:28:21.513835
ru.alfabank.mobile.android,русский банк,21,2020-11-16 12:28:22.87253
ru.alfabank.mobile.android,bank,3,2020-11-16 12:28:57.282435
ru.alfabank.mobile.android,банк,4,2020-11-16 12:28:58.56574
ru.alfabank.mobile.android,русский банк,21,2020-11-16 12:29:00.080006
ru.alfabank.mobile.android,bank,1,2020-11-17 12:29:11.177551
ru.alfabank.mobile.android,банк,3,2020-11-17 12:29:12.464796
ru.alfabank.mobile.android,русский банк,29,2020-11-17 12:29:13.979109
ru.alfabank.mobile.android,bank,1,2020-11-18 12:29:21.833141
ru.alfabank.mobile.android,банк,5,2020-11-18 12:29:23.197964
ru.alfabank.mobile.android,русский банк,29,2020-11-18 12:29:24.845013
ru.alfabank.mobile.android,bank,1,2020-11-19 12:29:37.180909
ru.alfabank.mobile.android,банк,2,2020-11-19 12:29:38.639005
ru.alfabank.mobile.android,русский банк,30,2020-11-19 12:29:40.087351
ru.alfabank.mobile.android,bank,1,2020-11-20 12:29:52.473102
ru.alfabank.mobile.android,банк,2,2020-11-20 12:29:53.640329
ru.alfabank.mobile.android,русский банк,29,2020-11-20 12:29:55.111003
ru.alfabank.mobile.android,bank,1,2020-11-21 12:30:03.525695
ru.alfabank.mobile.android,банк,2,2020-11-21 12:30:04.846853
ru.alfabank.mobile.android,русский банк,13,2020-11-21 12:30:06.892473
ru.alfabank.mobile.android,bank,3,2020-11-22 12:30:17.594466
ru.alfabank.mobile.android,банк,3,2020-11-22 12:30:18.988066
ru.alfabank.mobile.android,русский банк,24,2020-11-22 12:30:20.494885
ru.alfabank.mobile.android,bank,2,2020-11-23 12:30:36.225196
ru.alfabank.mobile.android,банк,3,2020-11-23 12:30:37.506303
ru.alfabank.mobile.android,русский банк,33,2020-11-23 12:30:39.049041
ru.alfabank.mobile.android,bank,1,2020-11-24 12:30:57.257007
ru.alfabank.mobile.android,банк,4,2020-11-24 12:30:58.697804
ru.alfabank.mobile.android,русский банк,22,2020-11-24 12:31:00.436384
ru.alfabank.mobile.android,bank,1,2020-11-25 12:31:07.767373
ru.alfabank.mobile.android,банк,1,2020-11-25 12:31:09.135889
ru.alfabank.mobile.android,русский банк,29,2020-11-25 12:31:10.630276
ru.alfabank.mobile.android,bank,1,2020-11-26 12:31:19.029843
ru.alfabank.mobile.android,банк,1,2020-11-26 12:31:20.330837
ru.alfabank.mobile.android,русский банк,31,2020-11-26 12:31:21.95963
ru.alfabank.mobile.android,bank,1,2020-11-27 12:31:34.775234
ru.alfabank.mobile.android,банк,1,2020-11-27 12:31:36.16417
ru.alfabank.mobile.android,русский банк,32,2020-11-27 12:31:37.71077
ru.alfabank.mobile.android,bank,1,2020-11-28 12:31:49.091658
